signal_sizes,budgets,budgets_std,accuracy,runtime
100,10643.333333333334,1003.3325581392354,1.0,0.09505136807759602
129,7216.0,5761.144330773184,0.6666666666666666,0.001216570536295573
166,14139.666666666666,1599.3111711678318,1.0,0.001152356465657552
215,16495.333333333332,370.5287513210757,1.0,0.0008139610290527344
278,31565.666666666668,132.4646703422799,1.0,0.0008653004964192709
359,35476.0,4063.4399220365003,1.0,0.000986337661743164
464,52926.666666666664,220.1459112094118,1.0,0.0013095537821451824
599,69430.66666666667,283.785521516201,1.0,0.0016550223032633464
774,70707.0,9149.70425751565,0.9333333333333332,0.001961946487426758
999,61790.0,6140.515287823979,0.8666666666666667,0.0020104249318440757
