data_type,budgets,accuracy,accuracy_std,runtime,naive_budget
NETFLIX,1223.0258509299404,1455.0,17.60350343918316,0.021770000457763672,100000
NETFLIX,50223.02585092994,1409.0,16.88423547002965,0.07839798927307129,100000
NETFLIX,100223.02585092995,1409.0,16.88423547002965,0.0629420280456543,100000
NETFLIX,1323.0258509299404,1455.0,17.60350343918316,0.02881312370300293,100000
NETFLIX,50323.02585092994,1482.0,17.37277563699403,0.06739401817321777,100000
NETFLIX,100323.02585092995,1409.0,16.88423547002965,0.059767961502075195,100000
NETFLIX,1423.0258509299404,1455.0,17.60350343918316,0.03420424461364746,100000
NETFLIX,50423.02585092994,1409.0,16.88423547002965,0.0958857536315918,100000
NETFLIX,100423.02585092995,1409.0,16.88423547002965,0.20734405517578125,100000
NETFLIX,1523.0258509299404,1455.0,17.60350343918316,0.06376099586486816,100000
NETFLIX,50523.02585092994,1409.0,16.88423547002965,0.14888811111450195,100000
NETFLIX,100523.02585092995,1409.0,16.88423547002965,0.18523001670837402,100000
