signal_sizes,budgets,budgets_std,accuracy,runtime
100,190000.0,0.0,1.0,0.011625289916992188
215,425000.0,0.0,1.0,0.03659637769063314
464,914000.0,0.0,1.0,0.06566437085469563
999,1989000.0,0.0,1.0,0.13245534896850586
2154,4283847.399999999,144.76907128250838,1.0,0.25379689534505206
4641,9260688.6,295.41997901292996,1.0,0.6240298748016357
10000,19990000.0,0.0,1.0,1.6011733214060466
21544,43080062.46666667,3735.4721088504994,1.0,4.706692298253377
46415,92821090.66666667,3708.7192398454754,1.0,14.03286099433899
99999,199981022.4,7568.215878527778,1.0,56.587600231170654
